emoji,category,title,keywords
🤾🏼,unicode9,handball type,[]
🤾🏽,unicode9,handball type,[]
🤾🏾,unicode9,handball type,[]
🤾🏿,unicode9,handball type,[]
🥀,unicode9,wilted flower,"[wilted, flower]"
🥁,unicode9,drum with drumsticks,"[drumsticks, drum, music]"
🥂,unicode9,clinking glasses,"[glass, clink, drink, celebrate]"
🥃,unicode9,tumbler glass,"[shot, liquor, glass, booze, tumbler, whisky]"
🥄,unicode9,spoon,"[spoon, tableware]"
🥅,unicode9,goal net,"[net, goal]"
🥇,unicode9,first place medal,"[medal, gold, first]"
🥈,unicode9,second place medal,"[second, medal, silver]"
🥉,unicode9,third place medal,"[medal, third, bronze]"
🥊,unicode9,boxing glove,"[boxing, glove]"
🥋,unicode9,martial arts uniform,"[karate, martial arts, uniform, judo, taekwondo]"
🥐,unicode9,croissant,"[croissant, crescent roll, french, bread]"
🥑,unicode9,avocado,"[fruit, avocado]"
🥒,unicode9,cucumber,"[vegetable, pickle, cucumber]"
🥓,unicode9,bacon,"[bacon, meat, pig]"
🥔,unicode9,potato,"[vegetable, potato]"
🥕,unicode9,carrot,"[vegetable, carrot]"
🥖,unicode9,baguette bread,"[baguette, french, bread]"
🥗,unicode9,green salad,"[green, salad]"
🥘,unicode9,shallow pan of food,"[pan of food, shallow, paella, casserole, pan]"
🥙,unicode9,stuffed flatbread,"[falafel, flatbread, stuffed, kebab, gyro]"
🥚,unicode9,egg,[egg]
🥛,unicode9,glass of milk,"[glass, drink, milk]"
🥜,unicode9,peanuts,"[vegetable, peanut, nut]"
🥝,unicode9,kiwifruit,"[kiwi, fruit]"
🥞,unicode9,pancakes,"[cr pe, hotcake, pancake]"
🦀,nature,crab,"[tropical, zodiac, crab, cancer, animal]"
🦁,nature,lion face,"[wildlife, roar, leo, lion, cat, animal, zodiac, face]"
🦂,nature,scorpion,"[reptile, scorpius, scorpio, scorpion, insects, animal, zodiac]"
🦃,flags,turkey,"[turkey, country, flag]"
🦄,nature,unicorn face,"[unicorn, animal, face]"
🦅,unicode9,eagle,"[eagle, bird]"
🦆,unicode9,duck,"[bird, duck]"
🦇,unicode9,bat,"[bat, vampire]"
🦈,unicode9,shark,"[fish, shark]"
🦉,unicode9,owl,"[owl, wise, bird]"
🦊,unicode9,fox face,"[fox, face]"
🦋,unicode9,butterfly,"[butterfly, insect, pretty]"
🦌,unicode9,deer,[deer]
🦍,unicode9,gorilla,[gorilla]
🦎,unicode9,lizard,"[lizard, reptile]"
🦏,unicode9,rhinoceros,[rhinoceros]
🦐,unicode9,shrimp,"[small, shellfish, shrimp]"
🦑,unicode9,squid,"[squid, molusc]"
🧀,food,cheese wedge,"[food, cheese]"
